date,close,open,high,low,volume,percentage
"2024-7-3","17,978.57","17,841.77","18,017.76","17,808.27","3.09B","1.18%"
"2024-7-2","17,769.14","17,669.42","17,986.14","17,669.42","3.37B","0.29%"
"2024-6-28","17,718.61","17,583.19","17,865.47","17,583.19","2.83B","0.01%"
"2024-6-27","17,716.47","17,946.00","17,961.92","17,677.33","2.81B","-2.06%"
"2024-6-26","18,089.93","17,934.63","18,156.35","17,934.63","2.31B","0.09%"
"2024-6-25","18,072.90","18,088.02","18,231.46","17,959.07","2.33B","0.25%"
"2024-6-24","18,027.71","17,906.36","18,032.67","17,789.57","2.72B","0.00%"
"2024-6-21","18,028.52","18,199.14","18,240.13","17,968.37","3.43B","-1.67%"
"2024-6-20","18,335.32","18,453.63","18,520.37","18,274.20","2.68B","-0.52%"
"2024-6-19","18,430.39","18,056.22","18,448.66","18,039.01","3.51B","2.87%"
"2024-6-18","17,915.55","17,961.89","18,043.48","17,854.79","2.55B","-0.11%"
"2024-6-17","17,936.12","17,848.87","18,122.80","17,752.96","2.12B","-0.03%"
"2024-6-14","17,941.78","18,028.07","18,109.89","17,927.16","2.62B","-0.94%"
"2024-6-13","18,112.63","18,104.13","18,173.53","17,971.57","2.33B","0.97%"
"2024-6-12","17,937.84","18,032.40","18,063.72","17,848.76","3.14B","-1.31%"
"2024-6-11","18,176.34","18,163.12","18,267.69","17,994.10","3.53B","-1.04%"
"2024-6-7","18,366.95","18,562.48","18,575.69","18,302.33","3.31B","-0.59%"
"2024-6-6","18,476.80","18,577.58","18,700.68","18,383.80","2.80B","0.28%"
"2024-6-5","18,424.96","18,489.78","18,724.62","18,375.27","3.25B","-0.10%"
"2024-6-4","18,444.11","18,335.45","18,541.03","18,335.45","2.97B","0.22%"
"2024-6-3","18,403.04","18,283.56","18,573.81","18,283.56","3.14B","1.79%"
"2024-5-31","18,079.61","18,409.62","18,551.18","18,077.39","5.34B","-0.83%"
"2024-5-30","18,230.19","18,423.78","18,537.92","18,163.21","3.49B","-1.34%"
"2024-5-29","18,477.01","18,659.41","18,694.55","18,425.09","3.22B","-1.83%"
"2024-5-28","18,821.16","18,814.01","19,000.52","18,776.10","2.43B","-0.03%"
"2024-5-27","18,827.35","18,606.02","18,871.13","18,504.53","2.91B","1.17%"
"2024-5-24","18,608.94","18,742.28","18,867.91","18,532.41","3.55B","-1.38%"
"2024-5-23","18,868.71","19,024.41","19,024.41","18,776.21","3.17B","-1.70%"
"2024-5-22","19,195.60","19,225.26","19,359.68","19,149.41","2.84B","-0.13%"
"2024-5-21","19,220.62","19,473.67","19,487.36","19,175.80","3.52B","-2.12%"
"2024-5-20","19,636.22","19,621.43","19,706.12","19,574.56","3.50B","0.42%"
"2024-5-17","19,553.61","19,525.12","19,602.24","19,342.96","4.38B","0.91%"
"2024-5-16","19,376.53","19,262.79","19,442.90","19,114.38","5.81B","1.59%"
"2024-5-14","19,073.71","19,203.82","19,301.13","19,072.64","3.46B","-0.22%"
"2024-5-13","19,115.06","18,904.58","19,123.48","18,827.60","3.76B","0.80%"
"2024-5-10","18,963.68","18,669.43","18,993.28","18,657.51","6.51B","2.30%"
"2024-5-9","18,537.81","18,306.25","18,560.76","18,278.11","2.90B","1.22%"
